"Address","Content Type","Status Code","Status","Crawl Depth","Inlinks"
"https://vk.com/mfshop","text/html; charset=windows-1251","302","Found","1","20567"
"https://vk.com/rtrg?p=VK-RTRG-822193-aekMz","image/gif","200","OK","1","0"
"https://api-maps.yandex.ru/2.1/?lang=ru_RU&ns=cdekymap","application/javascript; charset=utf-8","200","OK","1","0"
"https://www.facebook.com/tr?id=и%20отсюда&ev=PageView&noscript=1","image/gif","200","OK","1","0"
"https://mc.yandex.ru/watch/53386729","","0","Blocked by robots.txt","1","0"
"https://https//vk.com/mfshop","","0","DNS lookup failed","1","20565"
"https://www.googletagmanager.com/ns.html?id=GTM-WVGVTW5","text/html; charset=UTF-8","200","OK","1","0"
"https://www.facebook.com/tr?id=834701780388844&ev=PageView&noscript=1","image/gif","200","OK","1","0"
"http://www.consultant.ru/document/cons_doc_LAW_305/","","302","OK","2","1"
"https://market.yandex.ru/shop--mfshop-ru/19923/reviews/add","","0","Connection Timeout","2","3"
"http://www.i4technology.ru/_files/mfshop.jpg","","0","Blocked by robots.txt","2","51"
"http://www.sititek.ru/_files/mfshop.jpg","text/html","301","Moved Permanently","2","168"
"https://yandex.ru/map-widget/v1/?um=constructor%3A5d5f2b3da076b800fe1bc455879e74f9d82f2b8ee083a9e307dd10b6cdc6920a&source=constructor","text/html; charset=utf-8","200","OK","2","0"
"https://yandex.ru/maps/?um=constructor%3Aaa649638226020239eca12e7db0a1d7dc3d3d841a5713ef66121316475545ffd&source=constructorLink","","0","Blocked by robots.txt","2","1"
"https://maps.google.com/maps?q=55.7502299%2C37.7279755&hl=ru-ru&t=m&z=15","","0","Blocked by robots.txt","2","1"
"https://forms.amocrm.ru/forms/assets/js/amoforms.js?1616054756","application/x-javascript","200","OK","2","0"
"https://telesys-market.ru/wa-data/public/site/PO/Configuration-Card24S/index.html","text/html; charset=utf-8","200","OK","3","2"
"https://www.youtube.com/v/Oo3nvfO6RQQ?hl=ru_RU&version=3&rel=0","text/html; charset=utf-8","200","OK","3","0"
"https://www.youtube.com/embed/s9-StdbE7Qs","text/html; charset=utf-8","200","OK","3","0"
"http://www.youtube.com/v/OWhfwaEgerM?hl=ru_RU&version=3","application/binary","301","Moved Permanently","3","0"
"http://www.youtube.com/v/PpKezkKNtwI?version=3&hl=ru_RU","application/binary","301","Moved Permanently","3","0"
"https://www.youtube.com/embed/cEqmg4w7tLM","text/html; charset=utf-8","200","OK","3","0"
"https://www.i4technology.ru/_files/mfshop.jpg","","0","Blocked by robots.txt","3","7"
"https://www.youtube.com/v/RGbZq_S69U4?version=3&hl=ru_RU&rel=0","text/html; charset=utf-8","200","OK","3","0"
"https://www.youtube.com/v/GdAItjX3Wps?hl=ru_RU&version=3&rel=0","text/html; charset=utf-8","200","OK","3","0"
"http://www.youtube.com/v/5Xaijry42ts&hl=ru&fs=1","application/binary","301","Moved Permanently","3","0"
"http://www.e-dic.ru/_files/video_01_01.mp4","text/html","301","Moved Permanently","3","1"
"https://www.youtube.com/v/MzLEuNgUA3A?version=3&hl=ru_RU","text/html; charset=utf-8","200","OK","3","0"
"https://www.youtube.com/embed/eba9oor14ns","text/html; charset=utf-8","200","OK","3","0"
"http://www.sec-stealth.ru/_files/video_02_07.mp4","text/html; charset=UTF-8","403","Forbidden","3","1"
"http://img.ezinearticles.com/blog/original-100-guaranteed.jpg","image/jpeg","200","OK","3","0"
"https://itunes.apple.com/us/app/express-gsm/id540258233","text/html; charset=UTF-8","301","Moved Permanently","3","1"
"https://www.youtube.com/v/4x6sTf1lClo?version=3&hl=ru_RU&rel=0","text/html; charset=utf-8","200","OK","3","0"
"https://www.sititek.ru/_files/mfshop.jpg","image/jpeg","200","OK","3","11"
"https://www.rospotrebnadzor.ru/deyatelnost/epidemiological-surveillance/?ELEMENT_ID=13955","text/html; charset=windows-1251","200","OK","3","2"
"https://www.youtube.com/v/rCVTeVRhWGQ?version=3&hl=ru_RU","text/html; charset=utf-8","200","OK","3","0"
"http://www.youtube.com/v/IlZYIk1lbug?fs=1&hl=ru_RU","application/binary","301","Moved Permanently","3","0"
"https://www.youtube.com/embed/3kRZm8G5IT8?rel=0","text/html; charset=utf-8","200","OK","3","0"
"https://www.youtube.com/v/lh2SklVyjYg?version=3&hl=ru_RU&rel=0","text/html; charset=utf-8","200","OK","3","0"
"https://play.google.com/store/apps/details?id=ru.arsenal.expressgsm","text/html; charset=utf-8","200","OK","3","1"
"http://www.youtube.com/embed/ewu3PTFlEs4?rel=0","application/binary","301","Moved Permanently","3","0"
